0.001, 0.100, 0.000, 7.5, 6.8, 1e+06, 0.114, 0.052, 1.9195e+06, 1.9195e+06, 1.2611e+28, 0.0159, 5.888e+24, 7.638e+22, 4.618e+20
0.001, 0.100, 0.000, 8.0, 7.3, 1e+06, 0.114, 0.052, 2.1840e+06, 2.1840e+06, 1.4348e+28, 0.0085, 6.277e+24, 9.338e+22, 9.609e+20
0.001, 0.100, 0.000, 10.0, 9.1, 1e+06, 0.114, 0.052, 3.4125e+06, 3.4125e+06, 2.2419e+28, 0.0033, 6.644e+24, 1.645e+23, 9.116e+20
0.001, 0.100, 0.000, 12.0, 10.9, 1e+06, 0.114, 0.052, 4.9140e+06, 4.9140e+06, 3.2283e+28, 0.0020, 6.684e+24, 2.901e+23, 1.18e+21
0.001, 0.100, 0.000, 15.0, 13.6, 1e+06, 0.114, 0.052, 7.6781e+06, 7.6781e+06, 5.0443e+28, 0.0000, 6.728e+24, 4.918e+23, 4.294e+20
0.001, 0.100, 0.260, 1.0, 0.9, 1e+06, 0.114, 0.052, 3.4125e+04, 3.4125e+04, 2.2419e+26, 0.9981, 1.264e+22, 3.577e+17, 4.35e+10
0.001, 0.100, 0.260, 3.0, 2.7, 1e+06, 0.114, 0.052, 3.0713e+05, 3.0713e+05, 2.0177e+27, 0.8416, 8.34e+23, 9.264e+21, 1.997e+20
0.001, 0.100, 0.260, 5.0, 4.5, 1e+06, 0.114, 0.052, 8.5313e+05, 8.5313e+05, 5.6047e+27, 0.6344, 2.374e+24, 2.699e+22, 6.278e+20
0.001, 0.100, 0.260, 7.5, 6.8, 1e+06, 0.114, 0.052, 1.9195e+06, 1.9195e+06, 1.2611e+28, 0.2786, 4.038e+24, 5.872e+22, 8.244e+20
0.001, 0.100, 0.260, 10.0, 9.1, 1e+06, 0.114, 0.052, 3.4125e+06, 3.4125e+06, 2.2419e+28, 0.0535, 5.49e+24, 1.379e+23, 1.057e+21
